plant_name,plant_slug,unit_name,state,county,status,fuel_type,capacity_mw,technology,start_year,planned_retirement_year,retired_year
"Trimble County power station","Trimble_County_Generating_Station","10",KY,Trimble,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",199,gas turbine&#91;1&#93;,2004,,
"Trimble County power station","Trimble_County_Generating_Station","5",KY,Trimble,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",199,gas turbine&#91;1&#93;,2002,,
"Trimble County power station","Trimble_County_Generating_Station","6",KY,Trimble,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",199,gas turbine&#91;1&#93;,2002,,
"Trimble County power station","Trimble_County_Generating_Station","7",KY,Trimble,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",199,gas turbine&#91;1&#93;,2004,,
"Trimble County power station","Trimble_County_Generating_Station","8",KY,Trimble,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",199,gas turbine&#91;1&#93;,2004,,
"Trimble County power station","Trimble_County_Generating_Station","9",KY,Trimble,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",199,gas turbine&#91;1&#93;,2004,,
"Trimble County power station","Trimble_County_Generating_Station","Unit 1",KY,Trimble,"Operating","coal: bituminous",566,subcritical,1990,,
"Trimble County power station","Trimble_County_Generating_Station","Unit 2",KY,Trimble,"Operating","coal: bituminous",834,supercritical,2011,,
"Welsh Power Plant","Welsh_Power_Plant","Unit 1, timepoint 1",TX,Titus,"Operating","coal: subbituminous",558,subcritical,1977,2028,
"Welsh Power Plant","Welsh_Power_Plant","Unit 1, timepoint 2",TX,Titus,"Pre-construction&#91;3&#93;&#91;4&#93;&#91;5&#93;&#91;6&#93;&#91;7&#93;&#91;8&#93;","fossil gas: natural gas&#91;7&#93;",558,steam turbine&#91;9&#93;,2027,,
"Welsh Power Plant","Welsh_Power_Plant","Unit 2",TX,Titus,"Retired","coal: subbituminous",558,subcritical,1980,,2016
"Welsh Power Plant","Welsh_Power_Plant","Unit 3, timepoint 1",TX,Titus,"Operating","coal: subbituminous",558,subcritical,1982,2028,
"Welsh Power Plant","Welsh_Power_Plant","Unit 3, timepoint 2",TX,Titus,"Pre-construction&#91;12&#93;","fossil gas: natural gas&#91;12&#93;",558,steam turbine&#91;12&#93;,2027,,
"Wyodak Power Plant","Wyodak_Power_Plant","Unit 1",WY,Campbell,"Operating","coal: subbituminous",402.3,subcritical,1978,,
